# idx w h direction rss_kb delta_kb
1 700 450 shrink 4528356 1520
2 900 600 grow 4535304 6948
3 1100 750 grow 4545708 10404
4 900 600 shrink 4549700 3992
5 700 450 shrink 4551232 1532
6 900 600 grow 4556780 5548
7 1100 750 grow 4564748 7968
8 900 600 shrink 4568108 3360
9 700 450 shrink 4569680 1572
10 900 600 grow 4575224 5544
11 1100 750 grow 4583200 7976
12 900 600 shrink 4586536 3336
13 700 450 shrink 4588108 1572
14 900 600 grow 4593668 5560
15 1100 750 grow 4601656 7988
16 900 600 shrink 4604996 3340
17 700 450 shrink 4606548 1552
18 900 600 grow 4612128 5580
19 1100 750 grow 4620116 7988
20 900 600 shrink 4623472 3356
21 700 450 shrink 4625024 1552
22 900 600 grow 4630584 5560
23 1100 750 grow 4638588 8004
24 900 600 shrink 4641936 3348
25 700 450 shrink 4643484 1548
26 900 600 grow 4649048 5564
27 1100 750 grow 4657044 7996
28 900 600 shrink 4660388 3344
29 700 450 shrink 4661944 1556
30 900 600 grow 4667528 5584
31 1100 750 grow 4675504 7976
32 900 600 shrink 4678876 3372
33 700 450 shrink 4680432 1556
34 900 600 grow 4686000 5568
35 1100 750 grow 4693992 7992
36 900 600 shrink 4697340 3348
37 700 450 shrink 4698912 1572
38 900 600 grow 4704492 5580
39 1100 750 grow 4712488 7996
40 900 600 shrink 4715832 3344
41 700 450 shrink 4717384 1552
42 900 600 grow 4722996 5612
43 1100 750 grow 4730980 7984
44 900 600 shrink 4734336 3356
45 700 450 shrink 4735872 1536
46 900 600 grow 4741444 5572
47 1100 750 grow 4749496 8052
48 900 600 shrink 4752832 3336
