# idx w h direction rss_kb delta_kb
1 700 450 shrink 4522400 1504
2 900 600 grow 4529292 6892
3 1100 750 grow 4539716 10424
4 900 600 shrink 4543668 3952
5 700 450 shrink 4545200 1532
6 900 600 grow 4550752 5552
7 1100 750 grow 4558708 7956
8 900 600 shrink 4562064 3356
9 700 450 shrink 4563632 1568
10 900 600 grow 4569188 5556
11 1100 750 grow 4577164 7976
12 900 600 shrink 4580512 3348
13 700 450 shrink 4582020 1508
14 900 600 grow 4587584 5564
15 1100 750 grow 4595572 7988
16 900 600 shrink 4598904 3332
17 700 450 shrink 4600440 1536
18 900 600 grow 4606020 5580
19 1100 750 grow 4613996 7976
20 900 600 shrink 4617352 3356
21 700 450 shrink 4618908 1556
22 900 600 grow 4624464 5556
23 1100 750 grow 4632476 8012
24 900 600 shrink 4635812 3336
25 700 450 shrink 4637364 1552
26 900 600 grow 4642936 5572
27 1100 750 grow 4650928 7992
28 900 600 shrink 4654272 3344
29 700 450 shrink 4655808 1536
30 900 600 grow 4661392 5584
31 1100 750 grow 4669380 7988
32 900 600 shrink 4672736 3356
33 700 450 shrink 4674292 1556
34 900 600 grow 4679876 5584
35 1100 750 grow 4687788 7912
36 900 600 shrink 4691144 3356
37 700 450 shrink 4692692 1548
38 900 600 grow 4698260 5568
39 1100 750 grow 4706152 7892
40 900 600 shrink 4709524 3372
41 700 450 shrink 4711084 1560
42 900 600 grow 4716652 5568
43 1100 750 grow 4724664 8012
44 900 600 shrink 4728032 3368
45 700 450 shrink 4729584 1552
46 900 600 grow 4735156 5572
47 1100 750 grow 4743156 8000
48 900 600 shrink 4746516 3360
