# idx w h direction rss_kb delta_kb
1 700 450 shrink 4522568 1524
2 900 600 grow 4529512 6944
3 1100 750 grow 4539908 10396
4 900 600 shrink 4543872 3964
5 700 450 shrink 4545420 1548
6 900 600 grow 4550968 5548
7 1100 750 grow 4558932 7964
8 900 600 shrink 4562292 3360
9 700 450 shrink 4563856 1564
10 900 600 grow 4569408 5552
11 1100 750 grow 4577336 7928
12 900 600 shrink 4580672 3336
13 700 450 shrink 4582220 1548
14 900 600 grow 4587780 5560
15 1100 750 grow 4595680 7900
16 900 600 shrink 4599036 3356
17 700 450 shrink 4600576 1540
18 900 600 grow 4606136 5560
19 1100 750 grow 4614112 7976
20 900 600 shrink 4617460 3348
21 700 450 shrink 4618976 1516
22 900 600 grow 4624532 5556
23 1100 750 grow 4632524 7992
24 900 600 shrink 4635864 3340
25 700 450 shrink 4637384 1520
26 900 600 grow 4642948 5564
27 1100 750 grow 4650948 8000
28 900 600 shrink 4654304 3356
29 700 450 shrink 4655848 1544
30 900 600 grow 4661420 5572
31 1100 750 grow 4669448 8028
32 900 600 shrink 4672824 3376
33 700 450 shrink 4674368 1544
34 900 600 grow 4679940 5572
35 1100 750 grow 4687932 7992
36 900 600 shrink 4691272 3340
37 700 450 shrink 4692848 1576
38 900 600 grow 4698408 5560
39 1100 750 grow 4706416 8008
40 900 600 shrink 4709776 3360
41 700 450 shrink 4711316 1540
42 900 600 grow 4716844 5528
43 1100 750 grow 4724840 7996
44 900 600 shrink 4728140 3300
45 700 450 shrink 4729700 1560
46 900 600 grow 4735284 5584
47 1100 750 grow 4743280 7996
48 900 600 shrink 4746616 3336
