# idx w h direction rss_kb delta_kb
1 700 450 shrink 4520176 -1376
2 900 600 grow 4524676 4500
3 1100 750 grow 4530844 6168
4 900 600 shrink 4528376 -2468
5 700 450 shrink 4525692 -2684
6 900 600 grow 4528776 3084
7 1100 750 grow 4532504 3728
8 900 600 shrink 4529348 -3156
9 700 450 shrink 4526668 -2680
10 900 600 grow 4529700 3032
11 1100 750 grow 4533392 3692
12 900 600 shrink 4530292 -3100
13 700 450 shrink 4527600 -2692
14 900 600 grow 4530708 3108
15 1100 750 grow 4534364 3656
16 900 600 shrink 4531256 -3108
17 700 450 shrink 4528572 -2684
18 900 600 grow 4531688 3116
19 1100 750 grow 4535464 3776
20 900 600 shrink 4532292 -3172
21 700 450 shrink 4529612 -2680
22 900 600 grow 4532644 3032
23 1100 750 grow 4536404 3760
24 900 600 shrink 4533292 -3112
25 700 450 shrink 4530616 -2676
26 900 600 grow 4533720 3104
27 1100 750 grow 4537484 3764
28 900 600 shrink 4534368 -3116
29 700 450 shrink 4531688 -2680
30 900 600 grow 4534796 3108
31 1100 750 grow 4538584 3788
32 900 600 shrink 4535480 -3104
33 700 450 shrink 4532808 -2672
34 900 600 grow 4535912 3104
35 1100 750 grow 4539676 3764
36 900 600 shrink 4536584 -3092
37 700 450 shrink 4533904 -2680
38 900 600 grow 4537008 3104
39 1100 750 grow 4540772 3764
40 900 600 shrink 4537668 -3104
41 700 450 shrink 4535016 -2652
42 900 600 grow 4538120 3104
43 1100 750 grow 4541904 3784
44 900 600 shrink 4538808 -3096
45 700 450 shrink 4536080 -2728
46 900 600 grow 4539180 3100
47 1100 750 grow 4542944 3764
48 900 600 shrink 4539852 -3092
